timestamp,open,high,low,close,volume
1779816540000,76094.82,76098.95,76064.79,76064.79,3.161281
1779816600000,76064.79,76064.8,75880.0,75975.44,50.174755
1779816660000,75975.44,76023.43,75855.53,75910.0,8.582217
1779816720000,75910.0,75990.0,75910.0,75970.51,10.580256
1779816780000,75970.51,75970.51,75847.07,75885.1,21.039102
1779816840000,75885.1,75920.99,75880.01,75893.83,3.231125
1779816900000,75893.83,75979.99,75888.24,75962.4,3.484605
1779816960000,75962.4,76017.36,75962.4,76011.19,4.968271
1779817020000,76011.19,76033.64,75990.0,76009.99,2.099718
1779817080000,76009.99,76020.0,75992.15,76006.83,5.186857
1779817140000,76006.83,76006.83,75945.72,75969.99,5.864499
1779817200000,75969.99,75979.99,75887.66,75887.67,7.529824
1779817260000,75887.67,75958.21,75860.0,75919.99,19.034476
1779817320000,75919.99,75980.0,75916.19,75964.41,10.744939
1779817380000,75964.41,76030.0,75935.81,75993.71,16.790983
1779817440000,75993.71,76035.13,75981.42,76025.96,6.757189
1779817500000,76025.96,76039.99,76000.52,76009.72,6.17434
1779817560000,76009.72,76055.02,76002.0,76034.75,5.642764
1779817620000,76034.75,76034.75,75987.91,76009.31,3.255806
1779817680000,76009.31,76063.28,75992.55,76055.03,3.502034
1779817740000,76055.03,76149.99,76055.03,76125.52,11.974643
1779817800000,76125.52,76131.89,76046.24,76046.24,5.095638
1779817860000,76046.24,76076.67,76044.0,76076.54,3.449765
1779817920000,76076.54,76076.55,76034.33,76034.33,4.258577
1779817980000,76034.33,76080.0,76034.33,76080.0,4.149315
1779818040000,76080.0,76082.32,76033.79,76033.8,7.059899
1779818100000,76033.8,76049.99,76000.59,76033.53,5.307213
1779818160000,76033.53,76079.83,76033.53,76075.51,2.199489
1779818220000,76075.51,76075.51,76020.42,76060.0,7.787161
1779818280000,76060.0,76060.0,76006.0,76006.0,2.68007
1779818340000,76006.0,76006.0,75928.0,75933.22,15.430009
1779818400000,75933.22,75964.17,75853.91,75960.0,17.1735
1779818460000,75960.0,76024.85,75940.01,76008.12,32.725458
1779818520000,76008.12,76008.12,75931.08,75950.0,30.545835
1779818580000,75950.0,75969.91,75910.01,75943.69,7.355332
1779818640000,75943.69,75997.52,75943.69,75989.99,4.170688
