time,open,high,low,close,tick_volume,spread,real_volume
2026-05-27 12:15:00,1.1637,1.16487,1.16344,1.16406,699,6,0
2026-05-27 12:20:00,1.16408,1.16602,1.16402,1.16487,1218,6,0
2026-05-27 12:25:00,1.16489,1.16583,1.1648,1.16557,718,6,0
2026-05-27 12:30:00,1.1656,1.1660300000000001,1.16548,1.16562,506,6,0
2026-05-27 12:35:00,1.16563,1.16615,1.16549,1.16572,631,6,0
2026-05-27 12:40:00,1.16571,1.1657899999999999,1.16535,1.16535,375,6,0
2026-05-27 12:45:00,1.16537,1.16539,1.16499,1.16516,261,6,0
2026-05-27 12:50:00,1.16515,1.16548,1.16499,1.16543,257,6,0
2026-05-27 12:55:00,1.1654,1.16552,1.16416,1.16437,375,6,0
2026-05-27 13:00:00,1.16438,1.16478,1.16431,1.16456,412,6,0
2026-05-27 13:05:00,1.1645699999999999,1.16478,1.16425,1.16435,293,6,0
2026-05-27 13:10:00,1.16435,1.16462,1.16432,1.16451,250,6,0
2026-05-27 13:15:00,1.16451,1.16472,1.16443,1.16455,250,6,0
2026-05-27 13:20:00,1.16455,1.16456,1.16397,1.16438,292,6,0
2026-05-27 13:25:00,1.16438,1.1645699999999999,1.16395,1.16412,339,6,0
2026-05-27 13:30:00,1.1641,1.16455,1.16392,1.16445,310,6,0
2026-05-27 13:35:00,1.16443,1.16456,1.16408,1.1642299999999999,321,6,0
2026-05-27 13:40:00,1.16424,1.1644700000000001,1.16411,1.16418,289,6,0
2026-05-27 13:45:00,1.16417,1.16458,1.16415,1.16427,305,6,0
2026-05-27 13:50:00,1.16426,1.16442,1.16383,1.16389,325,6,0
2026-05-27 13:55:00,1.16388,1.16413,1.16374,1.16413,268,6,0
2026-05-27 14:00:00,1.16413,1.1642299999999999,1.16364,1.16389,306,6,0
2026-05-27 14:05:00,1.16387,1.16415,1.16368,1.16414,346,6,0
2026-05-27 14:10:00,1.16416,1.16486,1.1641,1.1648,263,6,0
2026-05-27 14:15:00,1.1648,1.16512,1.16464,1.16512,242,6,0
2026-05-27 14:20:00,1.16513,1.1652,1.16437,1.1644,443,6,0
2026-05-27 14:25:00,1.16442,1.1649,1.16442,1.16485,269,6,0
2026-05-27 14:30:00,1.1648399999999999,1.16516,1.16414,1.16459,810,6,0
2026-05-27 14:35:00,1.1646,1.16499,1.16453,1.16493,300,6,0
